factor,weight,score
sector_relative_strength,0.06969228156794784,0.47886209004854463
reversal_1,0.06751187155217563,0.4638802918662383
reversal_2_5,0.06669717093207655,0.45828240881624627
relative_strength,0.06310406979372539,0.433593879725846
residual_momentum,0.06258897784968566,0.43005463550337714
ma_dev_20,0.060020987470768436,0.41240973692341143
volatility_skew,0.058788802756054505,0.40394328218066483
mom_10,0.057787456783267195,0.3970629417096312
breakout_20,0.05696246194963466,0.39139432616965414
downside_volatility,0.054552538965697527,0.3748355232293453
mom_20,0.05414614821469174,0.37204317492297956
smoothed_momentum,0.05221805550357021,0.3587950721964984
trend_stability_20,0.048449683458003115,0.3329022405482562
volatility_20,0.047695599930497275,0.3277208631284258
volatility_spillover,0.04638018300826167,0.31868251221645527
up_volume_ratio,0.04254013852803088,0.292297212663737
volume_change_rate,0.04247116245799803,0.29182327172915784
range_breakout_strength,0.041083022131211094,0.28228523160174757
body_strength,0.004204343961157231,0.0288884348629026
amplitude_mean_5,0.003105043185545466,0.021335037913368115
